 dhc12  | Lists          | Adding               | 02/11/2020 15:09:52 |  1 |  1
 dhc12  | Lists          | Appending            | 02/11/2020 15:09:52 |  1 |  1
 jkk22  | Strings        | Index/Slice          | 02/11/2020 15:25:03 |  1 |  1
 jkk22  | Strings        | Split                | 02/11/2020 15:25:03 |  1 |  1
 bmh58  | Lists          | Adding               | 02/11/2020 15:30:41 |  0 |  3
 bmh58  | Lists          | Adding               | 02/11/2020 15:32:04 |  3 |  3
 bmh58  | Lists          | Adding               | 02/11/2020 15:32:47 |  7 |  7
 bmh58  | Lists          | Appending            | 02/11/2020 15:33:40 |  2 |  3
 cn113  | Strings        | Find                 | 02/11/2020 18:27:10 |  3 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:28:17 |  0 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:29:08 |  0 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:30:48 |  1 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:32:02 |  2 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:48:55 |  3 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:49:27 |  2 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:50:35 |  3 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:50:52 |  3 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:51:21 |  2 |  3
 cn113  | Strings        | Split                | 02/11/2020 18:52:10 |  5 |  5
 cn113  | Strings        | Split                | 02/11/2020 18:57:59 |  4 |  5
 jac159 | Strings        | Find                 | 02/11/2020 20:07:01 |  0 |  1
 jac159 | Strings        | Find                 | 02/11/2020 20:07:33 |  1 |  1
 so135  | Strings        | Index/Slice          | 02/11/2020 20:49:08 |  1 |  1
 so135  | Strings        | Split                | 02/11/2020 20:49:08 |  0 |  1
 so135  | Strings        | Index/Slice          | 02/11/2020 20:50:24 |  1 |  1
 so135  | Strings        | Split                | 02/11/2020 20:50:24 |  1 |  1
 so135  | Strings        | Index/Slice          | 02/11/2020 20:51:01 |  1 |  1
 so135  | Strings        | Split                | 02/11/2020 20:51:01 |  1 |  1
 hso3   | Lists          | Adding               | 02/12/2020 00:01:02 |  1 |  1
 hso3   | Lists          | Appending            | 02/12/2020 00:01:02 |  0 |  1
 hso3   | Math operators | Exponents            | 02/12/2020 00:01:02 |  1 |  1
 hso3   | Math operators | Floor Division       | 02/12/2020 00:01:02 |  1 |  1
 hso3   | Math operators | Mod                  | 02/12/2020 00:01:02 |  1 |  1
 hso3   | Strings        | Find                 | 02/12/2020 00:01:02 |  2 |  2
 hso3   | Strings        | Index/Slice          | 02/12/2020 00:01:02 |  2 |  2
 hso3   | Strings        | Split                | 02/12/2020 00:01:02 |  2 |  2
 lmn25  | Lists          | Adding               | 02/12/2020 05:00:33 |  2 |  2
 lmn25  | Lists          | Appending            | 02/12/2020 05:00:33 |  2 |  2
 lmn25  | Math operators | Exponents            | 02/12/2020 05:00:33 |  3 |  3
 lmn25  | Math operators | Floor Division       | 02/12/2020 05:00:33 |  3 |  3
 lmn25  | Math operators | Mod                  | 02/12/2020 05:00:33 |  3 |  3
 lmn25  | Strings        | Find                 | 02/12/2020 05:00:33 |  0 |  3
 lmn25  | Strings        | Index/Slice          | 02/12/2020 05:00:33 |  3 |  3
 lmn25  | Strings        | Split                | 02/12/2020 05:00:33 |  3 |  3
 jej34  | Lists          | Adding               | 02/13/2020 01:28:01 |  1 |  3
 jej34  | Lists          | Adding               | 02/13/2020 01:28:33 |  2 |  3
 jej34  | Lists          | Adding               | 02/13/2020 01:29:14 |  3 |  3
 jej34  | Lists          | Adding               | 02/13/2020 02:25:40 |  5 |  5
 jej34  | Lists          | Appending            | 02/13/2020 02:25:40 |  2 |  4
 jej34  | Lists          | Adding               | 02/13/2020 02:54:40 |  7 |  7
 jej34  | Lists          | Appending            | 02/13/2020 02:54:40 |  6 |  6
 orp    | Lists          | Adding               | 02/13/2020 15:53:20 |  2 |  2
 orp    | Lists          | Appending            | 02/13/2020 15:53:20 |  1 |  2
 orp    | Math operators | Exponents            | 02/13/2020 15:53:20 |  3 |  3
